"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400000001";"25";"03";"2024";"07:40";"2";"70";"70285";"1";"1";"5";"1";"D438";"47,56277000";"6,75832000"
"202400000002";"20";"03";"2024";"15:05";"1";"21";"21054";"2";"3";"7";"6";"HOTEL DIEU (RUE DE L')";"47,02109000";"4,83755000"
"202400000003";"22";"03";"2024";"19:30";"2";"15";"15012";"1";"1";"1";"6";"Allée des Tilleuls";"44,90238400";"2,49641800"
"202400000004";"24";"03";"2024";"17:50";"1";"14";"14118";"2";"3";"7";"3";"128 Rue d'Authie";"49,19166000";" -0,39851000"
"202400000005";"25";"03";"2024";"19:35";"5";"13";"13106";"1";"3";"2";"5";"BEDOULE (CHEMIN DE LA)";"43,39000000";"5,35000000"
"202400000006";"25";"03";"2024";"04:00";"5";"13";"13215";"2";"2";"1";"3";"Petite Ourse (rue de la)";"43,34147000";"5,37306000"
"202400000007";"24";"03";"2024";"02:45";"5";"13";"13201";"2";"1";"1";"3";"HUILES (PLACE AUX)";"43,29253000";"5,37197000"
"202400000008";"24";"03";"2024";"14:45";"1";"07";"07281";"2";"1";"1";"2";"MARCALE (RUE DE)";"44,94319000";"4,84435000"
"202400000009";"24";"03";"2024";"03:40";"3";"07";"07281";"2";"1";"1";"6";"TOURTOUSSE (CHEMIN DE)";"44,92386000";"4,81623000"
"202400000010";"25";"03";"2024";"19:50";"5";"06";"06088";"2";"1";"1";"7";"Avenue Félix Faure";"43,69906900";"7,27610000"
"202400000011";"24";"03";"2024";"19:35";"2";"75";"75112";"2";"1";"1";"2";"BD PERIPHERIQUE EXTERIEUR";"48,84046000";"2,41368600"
"202400000012";"24";"03";"2024";"01:20";"3";"75";"75117";"2";"1";"1";"7";"BD PERIPHERIQUE INTERIEUR";"48,89503100";"2,30658900"
"202400000013";"25";"03";"2024";"17:40";"1";"75";"75119";"2";"1";"1";"6";"RUE GASTON TESSIER";"48,89598900";"2,37408400"
"202400000014";"25";"03";"2024";"15:10";"1";"75";"75119";"2";"3";"1";"3";"RUE DE CRIMEE";"48,88758800";"2,38035300"
"202400000015";"25";"03";"2024";"09:00";"1";"75";"75119";"2";"3";"1";"1";"QUAI DE LA GIRONDE";"48,89577200";"2,38361200"
"202400000016";"25";"03";"2024";"13:40";"1";"75";"75118";"2";"2";"1";"3";"BOULEVARD BARBES";"48,88946540";"2,34958917"
"202400000017";"25";"03";"2024";"09:00";"1";"75";"75117";"2";"3";"1";"6";"RUE GUILLAUME TELL";"48,88446200";"2,29447800"
"202400000018";"25";"03";"2024";"09:25";"1";"75";"75115";"2";"1";"1";"3";"BOULEVARD VICTOR";"48,83652100";"2,27664900"
"202400000019";"24";"03";"2024";"13:45";"1";"75";"75102";"2";"2";"1";"6";"RUE REAUMUR";"48,86653800";"2,35114500"
"202400000020";"25";"03";"2024";"20:00";"5";"94";"94003";"2";"1";"1";"1";"Avenue Paul Doumer";"48,80667297";"2,33685409"
"202400000021";"25";"03";"2024";"15:37";"1";"94";"94022";"2";"2";"1";"6";" Avenue Gambetta / Boulevard des Alliés";"48,76421800";"2,40526700"
"202400000022";"19";"09";"2024";"16:30";"1";"51";"51525";"1";"1";"1";"6";"SOGNY (RTE DE)";"48,91725400";"4,39800900"
