"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000001";"155781758";"A01";"1";"7";"0";"2";"1";"13";"1";""
"202400000001";"155781759";"B01";"2";"14";"0";"2";"2";"21";"1";""
"202400000002";"155781757";"A01";"1";"10";"0";"1";"3";"15";"1";""
"202400000003";"155781756";"A01";"3";"3";"9";"1";"1";"1";"1";""
"202400000004";"155781754";"B01";"3";"34";"0";"2";"0";"0";"1";""
"202400000004";"155781755";"A01";"3";"7";"0";"2";"3";"15";"0";""
"202400000005";"155781750";"A01";"3";"7";"0";"2";"1";"9";"1";""
"202400000005";"155781751";"B01";" -1";"7";"0";"2";"1";"17";"1";""
"202400000005";"155781752";"C01";" -1";"7";"0";"0";"3";"2";"1";""
"202400000005";"155781753";"D01";" -1";"7";"0";"0";"1";"2";"1";""
"202400000006";"155781748";"A01";"3";"7";"0";"2";"1";"1";"1";""
"202400000006";"155781749";"B01";"2";"7";"0";"2";"6";"19";"1";""
"202400000007";"155781746";"A01";"2";"7";"0";"2";"2";"15";"1";""
"202400000007";"155781747";"B01";"3";"7";"0";"2";"3";"9";"2";""
"202400000008";"155781742";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000008";"155781743";"B01";"1";"7";"0";"2";"4";"2";"1";""
"202400000009";"155781741";"A01";"1";"7";"6";"5";"2";"14";"1";""
"202400000010";"155781740";"A01";"1";"33";"12";"0";"8";"18";"1";""
"202400000011";"155781738";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202400000011";"155781739";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000012";"155781737";"A01";"1";"33";"0";"0";"7";"1";"1";""
"202400000013";"155781736";"A01";"2";"2";"0";"1";"2";"1";"1";""
"202400000014";"155781734";"Z01";"2";"1";"0";"2";"2";"17";"5";""
"202400000014";"155781735";"A01";"2";"1";"0";"2";"3";"1";"5";""
"202400000015";"155781732";"A01";"3";"80";"0";"2";"1";"1";"3";""
"202400000015";"155781733";"B01";"1";"80";"0";"2";"1";"1";"3";""
"202400000016";"155781730";"B01";"2";"50";"1";"0";"2";"22";"3";""
"202400000016";"155781731";"A01";"3";"10";"1";"2";"2";"22";"1";""
"202400000017";"155781729";"A01";"1";"7";"0";"1";"4";"26";"1";""
"202400000018";"155781727";"A01";"2";"7";"0";"2";"3";"9";"1";""
"202400000018";"155781728";"B01";"2";"1";"0";"2";"7";"1";"5";""
"202400000019";"155781726";"A01";"2";"7";"0";"1";"1";"16";"2";""
"202400000020";"155781724";"A01";"0";"2";"0";"2";"1";"17";"1";""
