"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 230 442";"A";"2024";"Métropole";"N10MCWCTMU3L706";"VU";"3"
"67 230 442";"B";"2024";"Métropole";"MRE3306AW885";"VT";"22"
"67 230 442";"C";"2024";"Métropole";"N10VWGCTN23U973";"VT";"7"
"67 230 443";"A";"2024";"Métropole";"LYM94J30J537";"Moto lourde";"14"
"67 230 444";"A";"2024";"Métropole";"WDF639603135376";"VU";"15"
"67 230 444";"B";"2024";"Métropole";"M10PGTVP013R677";"VT";"9"
"67 230 445";"A";"2024";"Métropole";"MVW11A2K4846";"VT";"24"
"67 230 446";"A";"2024";"Métropole";"LJS92E20K377";"Moto légère";"15"
"67 230 447";"A";"2024";"Métropole";"N10CTRCT077S128";"VU";"3"
"67 230 447";"B";"2024";"Métropole";"M10NSSVP026A081";"VT";"7"
"67 230 447";"C";"2024";"Métropole";"N/A";"VT";"4"
"67 230 447";"D";"2024";"Métropole";"N/A";"VT";"30"
"67 230 447";"E";"2024";"Métropole";"MJS1002FK878";"VT";"13"
"67 230 447";"F";"2024";"Métropole";"N/A";"VU";"5"
"67 230 448";"A";"2024";"Métropole";"M10HMCVP004F851";"VT";"0"
"67 230 450";"A";"2024";"Métropole";"N/A";"VT";"0"
"67 230 451";"A";"2024";"Métropole";"L1EPGGCL000E223";"Cyclo";"12"
"67 230 451";"B";"2024";"Métropole";"L3EHNDML0001907";"Moto légère";"4"
"67 230 452";"B";"2024";"Métropole";"N/A";"VU";"N/A"
"67 230 453";"A";"2024";"Métropole";"L3ESUZML0007995";"Moto légère";"6"
"67 230 454";"A";"2024";"Métropole";"M10PGTVP076T458";"VT";"5"
"67 230 454";"B";"2024";"Métropole";"M1GAUDVP008C111";"VT";"10"
"67 230 454";"C";"2024";"Métropole";"M10VWGVPU81K021";"VT";"4"
"67 230 455";"A";"2024";"Métropole";"N/A";"VT";"4"
"67 230 456";"A";"2024";"Métropole";"N/A";"Moto légère";"2"
"67 230 456";"B";"2024";"Métropole";"M10K1AVP004E446";"VT";"0"
"67 230 457";"A";"2024";"Métropole";"MPL1292HP822";"VT";"18"
"67 230 457";"B";"2024";"Métropole";"M10RENVP0134588";"VT";"11"
"67 230 458";"A";"2024";"Métropole";"M10PELVP2059308";"VT";"10"
"67 230 458";"B";"2024";"Métropole";"L3EHNDM2000E454";"Moto lourde";"10"
"67 230 459";"B";"2024";"Métropole";"N/A";"VT";"15"
"67 230 460";"B";"2024";"Métropole";"N/A";"Moto lourde";"7"
"67 230 460";"Z";"2024";"Métropole";"N10PGTCT008M699";"VU";"10"
"67 230 461";"A";"2024";"Métropole";"M10AUDVP086R585";"VT";"2"
"67 230 462";"A";"2024";"Métropole";"N10RENCTC98A432";"VU";"2"
"67 230 462";"B";"2024";"Métropole";"M10RENVP603P698";"VT";"6"
"67 230 463";"A";"2024";"Métropole";"M10SETVP0037982";"VT";"8"
"67 230 463";"B";"2024";"Métropole";"MPE5512V1477";"VT";"15"
"67 230 464";"A";"2024";"Métropole";"MPE5212VB542";"VT";"16"
"67 230 465";"A";"2024";"Métropole";"N/A";"VT";"7"
"67 230 466";"A";"2024";"Métropole";"M10FRDVP047E221";"VT";"10"
"67 230 468";"A";"2024";"Métropole";"MRE1111F9698";"VT";"18"
"67 230 468";"B";"2024";"Métropole";"N/A";"Autres";"N/A"
"67 230 469";"B";"2024";"Métropole";"M10VWGVPG19R683";"VT";"9"
"67 230 470";"A";"2024";"Métropole";"N/A";"VT";"17"
"67 230 470";"B";"2024";"Métropole";"N/A";"VT";"8"
"67 230 471";"A";"2024";"Métropole";"N/A";"VT";"3"
"67 230 472";"A";"2024";"Métropole";"N10MB2CT867T730";"VU";"0"
"67 230 473";"A";"2024";"Métropole";"N10FRDCT434A021";"VU";"2"
