accident,dept,nbUsagers
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400034184,77,56
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400033079,21,51
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400053213,66,50
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400024077,45,49
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400041600,55,48
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400015934,21,47
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400008071,18,43
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400013932,94,39
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400004481,62,36
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Accident_202400010457,75,21
