usager,localisation,action,etat
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988579,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988575,Sur accotement,B,En groupe
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988576,Sur accotement,B,En groupe
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988578,Sur accotement,B,En groupe
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988537,Sur passage piéton sans signalisation lumineuse,Jouant – courant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988527,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988523,A – 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988520,Sur passage piéton avec signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988507,Sur trottoir,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988505,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988501,Sur passage piéton sans signalisation lumineuse,Traversant,Accompagné
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988502,Sur passage piéton sans signalisation lumineuse,Traversant,Accompagné
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988496,A – 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988484,A – 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988482,9,Se déplaçant - Sens véhicule heurtant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988462,A – 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988453,Sur passage piéton sans signalisation lumineuse,Traversant,Accompagné
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988454,Sur passage piéton sans signalisation lumineuse,Traversant,Accompagné
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988377,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988372,Sur passage piéton avec signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988357,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988349,A + 50 m du passage piéton,Autre,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988341,Sur passage piéton sans signalisation lumineuse,Autre,Accompagné
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988302,Sur accotement,Autre,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988276,A + 50 m du passage piéton,B,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988250,A + 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988243,Sur passage piéton sans signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988205,Sur passage piéton avec signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988203,9,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988183,Sur passage piéton avec signalisation lumineuse,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988180,A – 50 m du passage piéton,Traversant,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988074,A – 50 m du passage piéton,Masqué,Seul
http://www.semanticweb.org/ontologies/accidents-routiers-v2#Usager_203988015,Sur passage piéton avec signalisation lumineuse,Jouant – courant,Seul
